description,original_size,compressed_size,compression_ratio,space_savings,compression_time,decompression_time,is_correct
Repetitive Text,184,1432,0.12849162011173185,-678.2608695652174,9.1552734375e-05,3.409385681152344e-05,True
Random Text,208,3360,0.06190476190476191,-1515.3846153846152,9.632110595703125e-05,3.0994415283203125e-05,False
Mixed Content,344,3664,0.09388646288209607,-965.1162790697674,7.653236389160156e-05,3.3855438232421875e-05,True
Code-like Text,216,3776,0.057203389830508475,-1648.148148148148,6.628036499023438e-05,2.4318695068359375e-05,True
